Release date,Title,Genre,Runtime,Language,Type,Rating,Original Index
2021-06-24,Sisters on Track,Documentary,0 days 01:36:00,English,Documentaries,6.1,596
2021-06-30,America: The Motion Picture,Animation / comedy / historical fiction,0 days 01:38:00,English,Feature films,5.6,597
2021-07-01,Audible,Documentary,0 days 00:38:00,English,Documentaries,6.7,598
2021-07-02,Fear Street Part 1: 1994,Teen horror / slasher,0 days 01:47:00,English,Feature films,,599
2021-07-02,Haseen Dillruba,Romantic thriller,0 days 02:15:00,Hindi,Feature films,6.9,600
2021-07-02,The 8th Night,Thriller film,0 days 01:55:00,Korean,Feature films,5.3,601
2021-07-09,Fear Street Part 2: 1978,Teen horror / slasher,0 days 01:50:00,English,Feature films,,602
2021-07-09,Last Summer,Romantic drama,0 days 01:41:00,Turkish,Feature films,7.3,603
2021-07-14,A Classic Horror Story,Horror,0 days 01:35:00,Italian,Feature films,5.7,604
2021-07-14,Private Network: Who Killed Manuel Buendia?,Documentary,0 days 01:40:00,Spanish,Documentaries,,605
2021-07-15,A Perfect Fit,Romantic comedy / drama,0 days 01:52:00,Indonesian,Feature films,5.4,606
2021-07-15,Emicida: AmarElo – Live in São Paulo,Concert,0 days 01:39:00,Portuguese,Specials,,607
2021-07-15,My Amanda,Romance,0 days 01:29:00,Filipino,Feature films,5.8,608
2021-07-16,Deep,Science fiction,0 days 01:41:00,Thai,Feature films,4.9,609
2021-07-16,Fear Street Part 3: 1666,Supernatural horror,0 days 01:54:00,English,Feature films,,610
2021-07-23,Bankrolled,Comedy,0 days 01:37:00,Spanish,Feature films,4.2,611
2021-07-23,Blood Red Sky,Thriller,0 days 02:03:00,German,Feature films,6.1,612
2021-07-28,Bartkowiak,Action,0 days 01:31:00,Polish,Feature films,5.1,613
2021-07-29,Resort to Love,Romantic comedy,0 days 01:41:00,English,Feature films,5.7,614
2021-07-30,The Last Mercenary,Action comedy,0 days 01:52:00,French,Feature films,5.3,615
2021-08-03,Pray Away,Documentary,0 days 01:41:00,English,Documentaries,6.5,616
2021-08-03,Shiny_Flakes: The Teenage Drug Lord,Documentary,0 days 01:36:00,German,Documentaries,7.3,617
2021-08-10,Untold: Malice at the Palace,Documentary,0 days 01:09:00,English,Documentaries,,618
2021-08-11,The Kissing Booth 3,Comedy drama,0 days 01:53:00,English,Feature films,4.8,619
2021-08-12,Monster Hunter: Legends of the Guild,CG animated fantasy,0 days 00:58:00,English,Specials,5.2,620
2021-08-13,Beckett,Action thriller,0 days 01:50:00,English,Feature films,5.7,621
2021-08-17,Untold: Deal with the Devil,Documentary,0 days 01:17:00,English,Documentaries,,622
2021-08-18,Black Island,Thriller,0 days 01:44:00,German,Feature films,5.2,623
2021-08-18,Memories of a Murderer: The Nilsen Tapes,Documentary,0 days 01:25:00,English,Documentaries,6.3,624
2021-08-18,The Secret Diary of an Exchange Student,Romantic comedy,0 days 01:36:00,Portuguese,Feature films,5.4,625
2021-08-20,Sweet Girl,Action,0 days 01:50:00,English,Feature films,5.5,626
2021-08-20,The Loud House Movie,Animation/comedy,0 days 01:27:00,English,Feature films,6.1,627
2021-08-23,The Witcher: Nightmare of the Wolf,Animated dark fantasy,0 days 01:23:00,English,Feature films,7.2,628
2021-08-24,Untold: Caitlyn Jenner,Documentary,0 days 01:09:00,English,Documentaries,,629
2021-08-25,"Bob Ross: Happy Accidents, Betrayal & Greed",Documentary,0 days 01:33:00,English,Documentaries,6.9,630
2021-08-27,He's All That,Teen romantic comedy,0 days 01:31:00,English,Feature films,4.4,631
2021-08-31,Untold: Crimes & Penalties,Documentary,0 days 01:26:00,English,Documentaries,,632
2021-09-02,Afterlife of the Party,Comedy,0 days 01:49:00,English,Feature films,5.8,633
2021-09-07,Untold: Breaking Point,Documentary,0 days 01:19:00,English,Documentaries,,634
2021-09-08,JJ+E,Romance,0 days 01:31:00,Swedish,Feature films,5.4,635
2021-09-09,Blood Brothers: Malcolm X & Muhammad Ali,Documentary,0 days 01:36:00,English,Documentaries,6.9,636
2021-09-09,The Women and the Murderer,Documentary,0 days 01:32:00,French,Documentaries,6.4,637
2021-09-10,Kate,Action thriller,0 days 01:46:00,English,Feature films,6.2,638
2021-09-10,Prey,Thriller,0 days 01:27:00,German,Feature films,4.3,639
2021-09-15,Nightbooks,Fantasy/horror,0 days 01:40:00,English,Feature films,5.8,640
2021-09-15,Schumacher[a],Documentary,0 days 01:52:00,English,Documentaries,,641
2021-09-16,My Heroes Were Cowboys,Documentary,0 days 00:23:00,English,Documentaries,6.7,642
2021-09-17,Ankahi Kahaniya,Anthology film,0 days 01:50:00,Hindi,Feature films,5.6,643
2021-09-22,Confessions of an Invisible Girl,Drama,0 days 01:31:00,Portuguese,Feature films,5.3,644
2021-09-22,Intrusion,Thriller,0 days 01:33:00,English,Feature films,5.3,645
2021-09-24,The Starling,Comedy drama,0 days 01:44:00,English,Feature films,6.4,646
2021-09-28,Attack of The Hollywood Clichés!,Comedy,0 days 00:58:00,English,Specials,,647
2021-09-28,Britney vs Spears,Documentary,0 days 01:33:00,English,Documentaries,6.4,648
2021-09-29,Friendzone,Romantic comedy,0 days 01:28:00,French,Feature films,5.9,649
2021-09-29,No One Gets Out Alive,Horror,0 days 01:25:00,English,Feature films,5.4,650
2021-09-29,Sounds Like Love,Romantic comedy,0 days 01:50:00,Spanish,Feature films,5.4,651
2021-10-01,Diana: The Musical,Musical,0 days 01:57:00,English,Feature films,,652
2021-10-01,Forever Rich,Thriller,0 days 01:30:00,Dutch,Feature films,5.5,653
2021-10-01,Swallow,Drama,0 days 02:08:00,English,Feature films,4.1,654
2021-10-01,The Guilty,Thriller,0 days 01:31:00,English,Feature films,6.3,655
2021-10-05,Escape the Undertaker,Interactive horror,0 days 00:31:00,English,Specials,4.2,656
2021-10-06,There's Someone Inside Your House,Slasher,0 days 01:36:00,English,Feature films,4.9,657
2021-10-08,Grudge,Thriller,0 days 01:46:00,Turkish,Feature films,5.5,658
2021-10-08,"My Brother, My Sister",Drama,0 days 01:50:00,Italian,Feature films,6.0,659
2021-10-12,Bright: Samurai Soul,Anime/fantasy,0 days 01:20:00,Japanese,Feature films,5.5,660
2021-10-12,Convergence: Courage in a Crisis,Documentary,0 days 01:53:00,English,Documentaries,6.0,661
2021-10-12,Making Malinche: A Documentary by Nacho Cano,Documentary,0 days 01:29:00,Spanish,Documentaries,4.8,662
2021-10-13,Fever Dream,Drama,0 days 01:33:00,Spanish,Feature films,5.4,663
2021-10-13,Operation Hyacinth,Drama,0 days 01:52:00,Polish,Feature films,6.8,664
2021-10-14,A World Without,Science fiction / teen drama,0 days 01:47:00,Indonesian,Feature films,4.0,665
2021-10-15,The Four of Us,Comedy,0 days 01:28:00,German,Feature films,5.4,666
2021-10-20,Found,Documentary,0 days 01:38:00,English,Documentaries,7.5,667
2021-10-20,Night Teeth,Thriller,0 days 01:48:00,English,Feature films,5.7,668
2021-10-20,Stuck Together,Comedy,0 days 02:06:00,French,Feature films,6.3,669
2021-10-21,Flip a Coin – One OK Rock Documentary,Documentary,0 days 01:45:00,Japanese,Documentaries,,670
2021-10-22,Little Big Mouth,Romantic comedy,0 days 01:34:00,English,Feature films,4.2,671
2021-10-26,Sex: Unzipped,Comedy,0 days 00:59:00,English,Specials,3.3,672
2021-10-27,Hypnotic,Thriller,0 days 01:29:00,English,Feature films,5.3,673
2021-10-27,Nobody Sleeps in the Woods Tonight Part 2,Horror,0 days 01:37:00,Polish,Feature films,,674
2021-10-29,Army of Thieves,Romantic comedy / heist,0 days 02:09:00,English,Feature films,6.4,675
2021-11-03,Lords of Scam,Documentary,0 days 01:45:00,French,Documentaries,6.3,676
2021-11-03,The Harder They Fall,Western,0 days 02:19:00,English,Feature films,6.6,677
2021-11-05,A Cop Movie,Documentary,0 days 01:47:00,Spanish,Documentaries,7.0,678
2021-11-05,Love Hard,Romantic comedy,0 days 01:46:00,English,Feature films,6.3,679
2021-11-05,Meenakshi Sundareshwar,Romantic comedy,0 days 02:21:00,Hindi,Feature films,6.9,680
2021-11-05,We Couldn't Become Adults,Drama,0 days 02:04:00,Japanese,Feature films,6.5,681
2021-11-05,Yara,Drama,0 days 01:36:00,Italian,Feature films,6.3,682
2021-11-07,Father Christmas Is Back,Comedy,0 days 01:45:00,English,Feature films,4.5,683
2021-11-10,Happiness Ever After,Romantic drama,0 days 01:39:00,English,Feature films,4.6,684
2021-11-10,Passing,Drama,0 days 01:39:00,English,Feature films,6.6,685
2021-11-11,7 Prisoners,Drama,0 days 01:34:00,Portuguese,Feature films,7.1,686
2021-11-12,Red Notice,Action comedy,0 days 01:57:00,English,Feature films,6.3,687
2021-11-18,Just Short of Perfect,Romantic comedy,0 days 01:34:00,Portuguese,Feature films,5.5,688
2021-11-18,The Princess Switch 3: Romancing the Star,Romantic comedy,0 days 01:46:00,English,Feature films,,689
2021-11-19,Dhamaka,Action thriller,0 days 01:44:00,Hindi,Feature films,7.0,690
2021-11-19,Love Me Instead,Drama,0 days 02:04:00,Turkish,Feature films,7.0,691
2021-11-19,Procession,Documentary,0 days 01:58:00,English,Documentaries,7.1,692
2021-11-19,"Tick, Tick... Boom!",Musical,0 days 01:55:00,English,Feature films,,693
2021-11-24,Bruised,Drama,0 days 02:12:00,English,Feature films,,694
2021-11-24,Robin Robin,Stop motion / musical,0 days 00:32:00,English,Specials,7.0,695
2021-11-26,A Castle for Christmas,Romantic comedy,0 days 01:39:00,English,Feature films,5.6,696
2021-11-26,Angèle,Documentary,0 days 01:24:00,French,Documentaries,7.0,697
2021-11-29,14 Peaks: Nothing Is Impossible,Documentary,0 days 01:41:00,English,Documentaries,7.7,698
2021-11-30,Lead Me Home,Documentary,0 days 00:40:00,English,Documentaries,6.3,699
2021-12-01,The Power of the Dog,Drama,0 days 02:08:00,English,Feature films,6.8,700
2021-12-02,Single All the Way,Holiday romantic comedy,0 days 01:41:00,English,Feature films,6.2,701
2021-12-02,The Whole Truth,Horror,0 days 02:05:00,Thai,Feature films,5.2,702
2021-12-03,Mixtape,Coming-of-age comedy-drama,0 days 01:37:00,English,Feature films,6.6,703
2021-12-06,David and the Elves,Fantasy,0 days 01:46:00,Polish,Feature films,5.2,704
2021-12-07,The Claus Family 2,Fantasy,0 days 01:37:00,Dutch,Feature films,5.5,705
2021-12-09,Asakusa Kid,Drama,0 days 02:03:00,Japanese,Feature films,7.1,706
2021-12-10,Anonymously Yours,Romantic comedy,0 days 01:41:00,Spanish,Feature films,5.8,707
2021-12-10,Back to the Outback,Animation,0 days 01:35:00,English,Feature films,6.5,708
2021-12-10,The Unforgivable,Drama,0 days 01:54:00,English,Feature films,7.1,709
2021-12-15,137 Shots,Documentary,0 days 01:45:00,English,Documentaries,6.5,710
2021-12-15,The Hand of God,Drama,0 days 02:10:00,Italian,Feature films,7.3,711
2021-12-16,A California Christmas: City Lights,Romantic comedy,0 days 01:30:00,English,Feature films,5.6,712
2021-12-16,A Naija Christmas,Romantic comedy,0 days 02:01:00,English,Feature films,4.9,713
2021-12-16,Puff: Wonders of the Reef,Documentary,0 days 01:02:00,English,Documentaries,7.2,714
2021-12-21,Grumpy Christmas,Comedy,0 days 01:27:00,Spanish,Feature films,4.5,715
2021-12-24,1000 Miles from Christmas,Christmas film,0 days 01:42:00,Spanish,Feature films,5.8,716
2021-12-24,Don't Look Up,Science fiction comedy,0 days 02:18:00,English,Feature films,7.2,717
2021-12-24,Minnal Murali,Superhero,0 days 02:39:00,Malayalam,Feature films,7.8,718
2021-12-26,Lulli,Comedy,0 days 01:30:00,Portuguese,Feature films,4.8,719
2021-12-27,Death to 2021,Comedy,0 days 01:00:00,English,Specials,6.3,720
2022-01-05,Four to Dinner,Romantic comedy,0 days 01:30:00,Italian,Feature films,6.3,721
2022-01-06,The Wasteland,Horror,0 days 01:32:00,Spanish,Feature films,5.1,722
2022-01-12,How I Fell in Love with a Gangster,Drama,0 days 02:59:00,Polish,Feature films,6.0,723
2022-01-13,Brazen,Romantic thriller,0 days 01:36:00,English,Feature films,4.2,724
2022-01-13,Photocopier,Coming-of-age drama,0 days 02:10:00,Indonesian,Feature films,,725
2022-01-14,The House,Stop motion / dark comedy,0 days 01:37:00,English,Specials,6.8,726
2022-01-14,This Is Not a Comedy,Comedy drama,0 days 01:45:00,Spanish,Feature films,,727
2022-01-20,The Royal Treatment,Romance,0 days 01:37:00,English,Feature films,5.2,728
2022-01-21,Amandla,Drama,0 days 01:46:00,English,Feature films,5.6,729
2022-01-21,Munich – The Edge of War,Historical drama / thriller,0 days 02:11:00,English,Feature films,,730
2022-01-21,My Father's Violin,Drama,0 days 01:52:00,Turkish,Feature films,6.4,731
2022-01-24,Three Songs for Benazir,Documentary,0 days 00:22:00,Pashto,Documentaries,,732
2022-01-27,Behind the Scenes with Jane Campion,Making-of,0 days 00:17:00,English,Shorts,6.5,733
2022-01-28,Home Team,Sports comedy,0 days 01:37:00,English,Feature films,6.0,734
2022-02-02,The Tinder Swindler,Documentary,0 days 01:54:00,English,Documentaries,7.1,735
2022-02-04,Looop Lapeta,Romantic thriller,0 days 02:11:00,Hindi,Feature films,5.2,736
2022-02-04,Through My Window,Drama,0 days 01:53:00,Spanish,Feature films,5.5,737
2022-02-09,The Privilege,Horror,0 days 01:47:00,German,Feature films,4.7,738
2022-02-10,Into the Wind,Romantic drama,0 days 01:48:00,Polish,Feature films,5.3,739
2022-02-11,Bigbug,Science fiction comedy,0 days 01:51:00,French,Feature films,,740
2022-02-11,Love Tactics,Romantic comedy,0 days 01:38:00,Turkish,Feature films,5.3,741
2022-02-11,Love and Leashes,Romantic comedy,0 days 01:58:00,Korean,Feature films,6.3,742
2022-02-11,Tall Girl 2,Teen romantic comedy,0 days 01:41:00,English,Feature films,4.7,743
2022-02-17,Erax,Fantasy,0 days 00:15:00,English,Shorts,4.3,744
2022-02-17,Fistful of Vengeance,Supernatural martial arts drama,0 days 01:36:00,English,Feature films,4.4,745
2022-02-17,Forgive Us Our Trespasses,Drama,0 days 00:14:00,English,Shorts,6.4,746
2022-02-17,Heart Shot,Thriller,0 days 00:19:00,English,Shorts,4.9,747
2022-02-18,Downfall: The Case Against Boeing,Documentary,0 days 01:29:00,English,Documentaries,7.4,748
2022-02-18,Texas Chainsaw Massacre,Slasher,0 days 01:23:00,English,Feature films,4.7,749
2022-02-22,Cat Burglar,Animation / interactive fiction,0 days 00:12:00,English,Shorts,6.6,750
2022-02-23,11M: Terror in Madrid,Documentary,0 days 01:32:00,Spanish,Documentaries,6.9,751
2022-02-23,UFO,Drama,0 days 01:50:00,Turkish,Feature films,4.8,752
2022-02-25,A Madea Homecoming,Comedy,0 days 01:47:00,English,Feature films,,753
2022-02-25,Restless,Action thriller,0 days 01:36:00,French,Feature films,5.8,754
2022-03-02,Against the Ice,Survival,0 days 01:43:00,English,Feature films,6.5,755
2022-03-03,Surviving Paradise: A Family Tale,Documentary,0 days 01:19:00,English,Documentaries,7.5,756
2022-03-03,The Weekend Away,Thriller,0 days 01:31:00,English,Feature films,5.7,757
2022-03-04,The Invisible Thread,Comedy drama,0 days 01:30:00,Italian,Feature films,6.8,758
2022-03-11,The Adam Project,Science fiction,0 days 01:46:00,English,Feature films,6.7,759
2022-03-15,Adam by Eve: A Live in Animation,Animation / concert film,0 days 00:58:00,Japanese,Specials,6.2,760
2022-03-17,Rescued by Ruby,Drama,0 days 01:33:00,English,Feature films,7.1,761
2022-03-18,Black Crab,Thriller,0 days 01:54:00,Swedish,Feature films,5.7,762
2022-03-18,Windfall,Thriller,0 days 01:32:00,English,Feature films,5.7,763
2022-03-18,Without Saying Goodbye,Romantic comedy,0 days 01:36:00,Spanish,Feature films,,764
2022-03-21,In Good Hands,Romantic comedy,0 days 01:44:00,Turkish,Feature films,5.7,765
2022-03-24,Love Like the Falling Petals,Drama,0 days 02:09:00,Japanese,Feature films,6.5,766
2022-03-30,All Hail,Drama,0 days 01:58:00,Spanish,Feature films,5.6,767
2022-03-30,Broken Idol: The Undoing of Diomedes Díaz,Documentary,0 days 01:42:00,Spanish,Documentaries,,768
2022-03-30,Trust No One: The Hunt for the Crypto King,Documentary,0 days 01:30:00,English,Documentaries,6.3,769
2022-04-01,Apollo 10 1⁄2: A Space Age Childhood,Animation,0 days 01:38:00,English,Feature films,,770
2022-04-01,Battle: Freestyle,Romantic drama,0 days 01:28:00,Norwegian,Feature films,4.7,771
2022-04-01,Celeb Five: Behind the Curtain,Docu-comedy,0 days 00:55:00,Korean,Specials,4.8,772
2022-04-01,The Bubble,Comedy,0 days 02:06:00,English,Feature films,4.7,773
2022-04-02,Cobalt Blue,Romantic drama,0 days 01:52:00,Hindi,Feature films,6.5,774
2022-04-07,Return to Space,Documentary,0 days 02:08:00,English,Documentaries,7.3,775
2022-04-08,Dancing on Glass,Drama,0 days 02:19:00,Spanish,Feature films,5.6,776
2022-04-08,Metal Lords,Musical comedy drama,0 days 01:38:00,English,Feature films,6.7,777
2022-04-08,Yaksha: Ruthless Operations,Spy,0 days 02:05:00,Korean,Feature films,6.3,778
2022-04-13,The Taming of the Shrewd,Comedy,0 days 01:52:00,Polish,Feature films,4.6,779
2022-04-15,Choose or Die,Horror,0 days 01:25:00,English,Feature films,4.8,780
2022-04-16,Man of God,Drama,0 days 01:51:00,English,Feature films,3.8,781
2022-04-19,White Hot: The Rise & Fall of Abercrombie & Fitch,Documentary,0 days 01:28:00,English,Documentaries,5.8,782
2022-04-20,The Turning Point,Drama,0 days 01:30:00,Italian,Feature films,,783
2022-04-22,Oprah + Viola: A Netflix Special Event,Interview,0 days 00:48:00,English,Specials,7.6,784
2022-04-27,365 Days: This Day,Erotic thriller,0 days 01:51:00,English,Feature films,2.7,785
2022-04-27,Silverton Siege,Action thriller,0 days 01:41:00,English,Feature films,6.3,786
2022-04-27,The Mystery of Marilyn Monroe: The Unheard Tapes,Documentary,0 days 01:41:00,English,Documentaries,6.2,787
2022-04-28,Bubble,Anime,0 days 01:41:00,Japanese,Feature films,6.4,788
2022-04-29,Honeymoon with My Mother,Comedy,0 days 01:50:00,Spanish,Feature films,,789
2022-04-29,Rumspringa – An Amish in Berlin,Comedy,0 days 01:42:00,German,Feature films,,790
2022-05-03,Hold Your Breath: The Ice Dive,Documentary,0 days 00:40:00,English,Documentaries,6.6,791
2022-05-06,Along for the Ride,Drama,0 days 01:47:00,English,Feature films,6.1,792
2022-05-06,Thar,Western thriller,0 days 01:48:00,Hindi,Feature films,6.1,793
2022-05-06,The Takedown,Action comedy,0 days 02:01:00,French,Feature films,5.8,794
2022-05-11,Our Father,Documentary,0 days 01:37:00,English,Documentaries,6.6,795
2022-05-13,Senior Year,Comedy,0 days 01:53:00,English,Feature films,5.5,796
2022-05-18,Cyber Hell: Exposing an Internet Horror,Documentary,0 days 01:45:00,Korean,Documentaries,6.5,797
2022-05-18,Toscana,Drama,0 days 01:30:00,Danish,Feature films,5.7,798
2022-05-19,A Perfect Pairing,Romantic comedy,0 days 01:42:00,English,Feature films,6.1,799
2022-05-19,The Photographer: Murder in Pinamar,Documentary,0 days 01:46:00,Spanish,Documentaries,6.7,800
2022-05-20,F*ck Love Too,Romantic comedy,0 days 01:32:00,Dutch,Feature films,3.8,801
2022-05-23,Godspeed,Drama,0 days 01:59:00,Turkish,Feature films,6.4,802
2022-06-03,Interceptor,Action drama,0 days 01:38:00,English,Feature films,4.7,803
2022-06-08,Gladbeck: The Hostage Crisis,Documentary,0 days 01:31:00,German,Documentaries,7.5,804
2022-06-08,Hustle,Sports,0 days 01:58:00,English,Feature films,7.3,805
2022-06-10,Dirty Daddy: The Bob Saget Tribute,Interview,0 days 01:23:00,English,Specials,6.6,806
2022-06-10,Trees of Peace,Drama,0 days 01:38:00,English,Feature films,,807
2022-06-14,Jennifer Lopez: Halftime,Documentary,0 days 01:36:00,English,Documentaries,,808
2022-06-15,Centauro,Action thriller,0 days 01:30:00,Spanish,Feature films,,809
2022-06-15,Heart Parade,Romantic comedy,0 days 01:48:00,Polish,Feature films,5.0,810
2022-06-15,The Wrath of God,Thriller,0 days 01:38:00,Spanish,Feature films,5.8,811
2022-06-16,"Sing, Dance, Act: Kabuki featuring Toma Ikuta",Documentary,0 days 01:27:00,Japanese,Documentaries,6.9,812
2022-06-17,Spiderhead,Science fiction action thriller,0 days 01:47:00,English,Feature films,5.5,813
2022-06-17,The Martha Mitchell Effect,Documentary,0 days 00:40:00,English,Documentaries,6.6,814
2022-06-19,Civil: Ben Crump,Documentary,0 days 01:41:00,English,Documentaries,5.8,815
2022-06-20,Doom of Love,Drama,0 days 01:40:00,Turkish,Feature films,4.9,816
2022-06-22,Love & Gelato,Romance,0 days 01:52:00,English,Feature films,5.2,817
2022-06-28,Blasted,Science fiction / comedy,0 days 01:55:00,Norwegian,Feature films,4.8,818
2022-06-29,Beauty,Drama,0 days 01:35:00,English,Feature films,4.2,819
2022-07-06,Girl in the Picture,Documentary,0 days 01:42:00,English,Documentaries,7.3,820
2022-07-06,"Hello, Goodbye, and Everything in Between",Romantic comedy,0 days 01:24:00,English,Feature films,,821
2022-07-07,Dave Chappelle: What's In a Name?,Speech,0 days 00:39:00,English,Specials,,822
2022-07-08,Dangerous Liaisons,Romantic drama,0 days 01:49:00,French,Feature films,4.6,823
2022-07-08,Jewel,Drama,0 days 01:20:00,English,Feature films,3.6,824
2022-07-08,The Sea Beast,Animated adventure,0 days 01:59:00,English,Feature films,7.0,825
2022-07-11,For Jojo,Drama,0 days 01:30:00,German,Feature films,4.0,826
2022-07-12,My Daughter's Killer,Documentary,0 days 01:24:00,French,Documentaries,6.9,827
2022-07-13,Never Stop Dreaming: The Life and Legacy of Shimon Peres,Documentary,0 days 02:09:00,English,Documentaries,,828
2022-07-13,Under the Amalfi Sun,Comedy drama,0 days 01:30:00,Italian,Feature films,5.3,829
2022-07-15,Jaadugar,Comedy,0 days 02:47:00,Hindi,Feature films,6.8,830
2022-07-15,Persuasion,Drama,0 days 01:49:00,English,Feature films,5.8,831
2022-07-22,The Gray Man,Spy thriller,0 days 02:09:00,English,Feature films,6.5,832
2022-07-27,Recurrence,Thriller,0 days 01:56:00,Spanish,Feature films,,833
2022-07-28,A Cut Above,Comedy,0 days 01:31:00,Portuguese,Feature films,5.7,834
2022-07-29,Purple Hearts,Romance,0 days 02:02:00,English,Feature films,6.7,835
2022-07-29,The Entitled,Romantic comedy,0 days 01:30:00,Filipino,Feature films,4.0,836
2022-08-03,Buba,Comedy,0 days 01:34:00,German,Feature films,5.9,837
2022-08-03,Don't Blame Karma!,Romantic comedy,0 days 01:25:00,Spanish,Feature films,4.7,838
2022-08-04,Wedding Season,Comedy,0 days 01:37:00,English,Feature films,6.3,839
2022-08-05,Carter,Action,0 days 02:14:00,Korean,Feature films,5.1,840
2022-08-05,Darlings,Comedy drama,0 days 02:14:00,Hindi,Feature films,6.6,841
2022-08-05,Rise of the Teenage Mutant Ninja Turtles: The Movie,Animated action-adventure,0 days 01:22:00,English,Feature films,6.2,842
2022-08-10,Bank Robbers: The Last Great Heist,Documentary,0 days 01:50:00,Spanish,Documentaries,7.0,843
2022-08-10,Heartsong,Romantic comedy,0 days 01:35:00,Turkish,Feature films,5.7,844
2022-08-11,Stay on Board: The Leo Baker Story,Documentary,0 days 01:13:00,English,Documentaries,6.7,845
2022-08-12,13: The Musical,Musical,0 days 01:34:00,English,Feature films,5.2,846
2022-08-12,Day Shift,Fantasy comedy,0 days 01:53:00,English,Feature films,6.1,847
2022-08-17,Look Both Ways,Romantic comedy,0 days 01:51:00,English,Feature films,6.3,848
2022-08-17,Royalteen,Coming-of-age,0 days 01:48:00,Norwegian,Feature films,5.3,849
2022-08-18,Inside the Mind of a Cat,Documentary,0 days 01:07:00,English,Documentaries,6.9,850
2022-08-19,The Next 365 Days,Erotic thriller,0 days 01:53:00,English,Feature films,2.8,851
2022-08-23,Nightmare of the Wolf Bestiary,Clipshow,0 days 00:11:00,English,Shorts,,852
2022-08-23,Untold: The Rise and Fall of AND1,Documentary,0 days 01:09:00,English,Documentaries,,853
2022-08-24,Running with the Devil: The Wild World of John McAfee,Documentary,0 days 01:45:00,English,Documentaries,5.9,854
2022-08-25,That's Amor,Romantic comedy,0 days 01:36:00,English,Feature films,5.3,855
2022-08-25,The Figo Affair: The Transfer that Changed Football,Documentary,0 days 01:44:00,Spanish,Documentaries,7.1,856
2022-08-26,Loving Adults,Thriller,0 days 01:45:00,Danish,Feature films,6.5,857
2022-08-26,Me Time,Comedy,0 days 01:44:00,English,Feature films,5.1,858
2022-08-26,Seoul Vibe,Action,0 days 02:20:00,Korean,Feature films,5.5,859
2022-08-30,Untold: Operation Flagrant Foul,Documentary,0 days 01:17:00,English,Documentaries,,860
2022-08-31,I Came By,Thriller,0 days 01:50:00,English,Feature films,6.2,861
2022-09-01,Fenced in,Comedy,0 days 01:50:00,Portuguese,Feature films,,862
2022-09-01,Love in the Villa,Romantic comedy,0 days 01:55:00,English,Feature films,5.4,863
2022-09-02,Ivy + Bean,Family,0 days 00:57:00,English,Specials,6.0,864
2022-09-02,Ivy + Bean: Doomed to Dance,Family,0 days 00:56:00,English,Specials,5.8,865
2022-09-02,Ivy + Bean: The Ghost That Had to Go,Family,0 days 01:01:00,English,Specials,5.5,866
2022-09-02,The Festival of Troubadours,Drama,0 days 01:42:00,Turkish,Feature films,5.7,867
2022-09-06,Get Smart With Money,Documentary,0 days 01:33:00,English,Documentaries,,868
2022-09-06,Untold: The Race of the Century,Documentary,0 days 01:23:00,English,Documentaries,,869
2022-09-08,The Anthrax Attacks,Documentary,0 days 01:35:00,English,Documentaries,6.3,870
2022-09-09,End of the Road,Crime thriller,0 days 01:31:00,English,Feature films,4.8,871
2022-09-09,No Limit,Thriller,0 days 01:58:00,French,Feature films,5.8,872
2022-09-14,Broad Peak,Thriller,0 days 01:42:00,Polish,Feature films,6.0,873
2022-09-16,Do Revenge,Black comedy,0 days 01:58:00,English,Feature films,6.3,874
2022-09-16,Drifting Home,Anime,0 days 02:00:00,Japanese,Feature films,6.3,875
2022-09-16,I Used to Be Famous,Musical drama,0 days 01:44:00,English,Feature films,6.6,876
2022-09-16,Jogi,Drama,0 days 01:56:00,Hindi,Feature films,7.1,877
2022-09-16,Skandal! Bringing Down Wirecard,Documentary,0 days 01:33:00,English,Documentaries,7.2,878
2022-09-21,The Perfumier,Crime drama,0 days 01:36:00,German,Feature films,3.6,879
2022-09-22,The Dreamlife of Georgie Stone,Documentary,0 days 00:29:00,English,Documentaries,6.7,880
2022-09-23,A Jazzman's Blues,Drama,0 days 02:08:00,English,Feature films,6.8,881
2022-09-23,Athena,Drama,0 days 01:37:00,French,Feature films,6.8,882
2022-09-23,Lou,Thriller,0 days 01:47:00,English,Feature films,6.1,883
2022-09-26,A Trip to Infinity,Documentary,0 days 01:19:00,English,Documentaries,7.0,884
2022-09-28,Blonde,Biographical drama,0 days 02:47:00,English,Feature films,5.5,885
2022-09-30,Aníkúlápó,Fantasy drama,0 days 02:22:00,Yoruba,Feature films,,886
2022-09-30,Entergalactic,Musical drama,0 days 01:32:00,English,Specials,7.3,887
2022-09-30,Into the Deep: The Submarine Murder Case,Documentary,0 days 01:27:00,English,Documentaries,,888
2022-09-30,Plan A Plan B,Romantic comedy,0 days 01:46:00,Hindi,Feature films,4.6,889
2022-09-30,Rainbow,Fantasy drama,0 days 01:58:00,Spanish,Feature films,4.7,890
2022-10-05,Jumping from High Places,Drama,0 days 01:28:00,Italian,Feature films,5.7,891
2022-10-05,Mr. Harrigan's Phone,Horror,0 days 01:46:00,English,Feature films,6.0,892
2022-10-05,The Trapped 13: How We Survived The Thai Cave,Documentary,0 days 01:43:00,Thai,Documentaries,,893
2022-10-05,Togo,Thriller,0 days 01:35:00,Spanish,Feature films,5.3,894
