Release date,Title,Genre,Runtime,Language,Type,Rating,Original Index
2018-04-27,The Rachel Divide,Documentary,0 days 01:44:00,English,Documentaries,6.3,134
2018-04-27,The Week Of,Comedy,0 days 01:56:00,English,Feature films,5.2,135
2018-05-01,Sometimes,Drama,0 days 01:41:00,Tamil,Feature films,8.3,136
2018-05-04,End Game,Documentary,0 days 00:40:00,English,Documentaries,7.2,137
2018-05-04,Forgive Us Our Debts,Drama,0 days 01:44:00,Italian,Feature films,6.2,138
2018-05-11,The Kissing Booth,Teen romantic comedy,0 days 01:46:00,English,Feature films,5.9,139
2018-05-18,Cargo,Drama / Horror,0 days 01:44:00,English,Feature films,,140
2018-05-25,Ibiza,Comedy,0 days 01:34:00,English,Feature films,5.2,141
2018-05-25,Sara's Notebook,Drama,0 days 01:56:00,Spanish,Feature films,5.9,142
2018-06-08,Alex Strangelove,Romantic comedy,0 days 01:39:00,English,Feature films,6.3,143
2018-06-15,Lust Stories,Drama anthology,0 days 02:00:00,Hindi,Feature films,6.4,144
2018-06-15,Set It Up,Romantic comedy,0 days 01:45:00,English,Feature films,6.5,145
2018-06-24,"To Each, Her Own",Romantic comedy,0 days 01:35:00,French,Feature films,5.4,146
2018-06-29,Calibre,Thriller,0 days 01:41:00,English,Feature films,6.8,147
2018-06-29,Recovery Boys,Documentary,0 days 01:29:00,English,Documentaries,6.7,148
2018-06-29,TAU,Science fiction thriller,0 days 01:37:00,English,Feature films,,149
2018-07-06,The Legacy of a Whitetail Deer Hunter,Adventure comedy,0 days 01:23:00,English,Feature films,5.5,150
2018-07-13,How It Ends,Action-thriller,0 days 01:53:00,English,Feature films,5.1,151
2018-07-20,Duck Duck Goose,Animated comedy,0 days 01:32:00,English,Feature films,5.7,152
2018-07-20,Father of the Year,Comedy,0 days 01:34:00,English,Feature films,5.2,153
2018-07-27,Extinction,Science fiction thriller,0 days 01:35:00,English,Feature films,5.8,154
2018-07-27,The Bleeding Edge,Documentary,0 days 01:40:00,English,Documentaries,7.6,155
2018-08-03,Brij Mohan Amar Rahe,Action comedy,0 days 01:40:00,Hindi,Feature films,,156
2018-08-03,Like Father,Comedy drama,0 days 01:43:00,English,Feature films,6.1,157
2018-08-10,The Package,Black comedy,0 days 01:34:00,English,Feature films,5.6,158
2018-08-10,Zion,Documentary,0 days 00:11:00,English,Shorts,7.1,159
2018-08-17,To All the Boys I’ve Loved Before,Teen romantic comedy,0 days 01:40:00,English,Feature films,,160
2018-08-24,The After Party,Comedy,0 days 01:29:00,English,Feature films,5.8,161
2018-09-07,City of Joy,Documentary,0 days 01:16:00,English,Documentaries,,162
2018-09-07,Sierra Burgess Is a Loser,Teen romantic comedy-drama,0 days 01:46:00,English,Feature films,5.8,163
2018-09-07,The Most Assassinated Woman in the World,Mystery,0 days 01:42:00,French,Feature films,5.3,164
2018-09-12,On My Skin,Crime drama,0 days 01:40:00,Italian,Feature films,,165
2018-09-13,Reversing Roe,Documentary,0 days 01:39:00,English,Documentaries,7.5,166
2018-09-14,The Angel,Spy thriller,0 days 01:54:00,English,Feature films,6.7,167
2018-09-14,The Land of Steady Habits,Comedy drama,0 days 01:38:00,English,Feature films,6.2,168
2018-09-21,Nappily Ever After,Comedy drama,0 days 01:38:00,English,Feature films,6.4,169
2018-09-21,Quincy,Documentary,0 days 02:04:00,English,Documentaries,7.6,170
2018-09-28,Hold the Dark,Action thriller,0 days 02:05:00,English,Feature films,5.6,171
2018-09-28,Lessons from a School Shooting: Notes from Dunblane,Documentary,0 days 00:23:00,English,Documentaries,,172
2018-09-28,Two Catalonias,Documentary,0 days 01:56:00,Spanish,Documentaries,6.4,173
2018-10-05,Private Life,Drama,0 days 02:04:00,English,Feature films,7.2,174
2018-10-10,22 July,Crime drama,0 days 02:24:00,English,Feature films,6.8,175
2018-10-12,Apostle,Horror,0 days 02:10:00,English,Feature films,6.3,176
2018-10-12,Feminists: What Were They Thinking?,Documentary,0 days 01:26:00,English,Documentaries,7.1,177
2018-10-12,ReMastered: Who Shot the Sheriff?,Documentary,0 days 00:57:00,English,Documentaries,6.9,178
2018-10-19,The Night Comes for Us,Action-thriller,0 days 02:00:00,Indonesian,Feature films,6.9,179
2018-10-26,Been So Long,Musical,0 days 01:40:00,English,Feature films,5.5,180
2018-10-26,Shirkers,Documentary,0 days 01:37:00,English,Documentaries,7.3,181
2018-11-02,ReMastered: Tricky Dick & the Man in Black,Documentary,0 days 00:58:00,English,Documentaries,,182
2018-11-02,The Holiday Calendar,Christmas romantic comedy,0 days 01:35:00,English,Feature films,5.7,183
2018-11-02,The Other Side of the Wind,Drama,0 days 02:02:00,English,Feature films,,184
2018-11-02,They'll Love Me When I'm Dead,Documentary,0 days 01:38:00,English,Documentaries,7.4,185
2018-11-09,Outlaw King,Historical-epic,0 days 02:01:00,English,Feature films,6.9,186
2018-11-13,Loudon Wainwright III: Surviving Twin,One-man show,0 days 01:31:00,English,Specials,6.9,187
2018-11-16,Cam,Psychological horror,0 days 01:34:00,English,Feature films,5.9,188
2018-11-16,The Ballad of Buster Scruggs,Western anthology,0 days 02:13:00,English,Feature films,7.2,189
2018-11-16,The Princess Switch,Christmas romantic comedy,0 days 01:42:00,English,Feature films,6.1,190
2018-11-22,The Christmas Chronicles,Christmas / Fantasy / Adventure / Comedy,0 days 01:45:00,English,Feature films,7.0,191
